"#""pop2023""",pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lng,lat,rank,density
76329,74259,0.00912,Missouri City,29.043,29.5629,-95.536,missouri-city-tx,TX,-95.536,29.5629,55,2628
74351,67553,0.03144,San Marcos,34.137,29.8729,-97.9377,san-marcos-tx,TX,-97.9377,29.8729,56,2178
73923,71829,0.00953,Harlingen,40.079,26.1912,-97.6974,harlingen-tx,TX,-97.6974,26.1912,57,1844
73110,67176,0.02781,Georgetown,54.85,30.6681,-97.6987,georgetown-tx,TX,-97.6987,30.6681,58,1333
71888,69917,0.00922,North Richland Hills,18.13,32.862,-97.2148,north-richland-hills-tx,TX,-97.2148,32.862,59,3965
70669,65191,0.02652,Pflugerville,24.919,30.4478,-97.6021,pflugerville-tx,TX,-97.6021,30.4478,60,2836
69006,59202,0.04971,Leander,37.48,30.5739,-97.8626,leander-tx,TX,-97.8626,30.5739,61,1841
66416,65534,0.00445,Victoria,37.194,28.8285,-96.986,victoria-tx,TX,-96.986,28.8285,62,1786
65037,62559,0.01286,Spring,22.485,30.0622,-95.384,spring-tx,TX,-95.384,30.0622,63,2892
64437,62535,0.00994,Rowlett,20.891,32.9159,-96.5486,rowlett-tx,TX,-96.5486,32.9159,64,3084
63960,61032,0.0155,Euless,16.134,32.8494,-97.0786,euless-tx,TX,-97.0786,32.8494,65,3964
62356,57526,0.0265,Wylie,22.056,33.0358,-96.5201,wylie-tx,TX,-96.5201,33.0358,66,2827
58275,56145,0.01233,DeSoto,21.633,32.5993,-96.8629,desoto-tx,TX,-96.8629,32.5993,67,2694
56705,56039,0.00393,Port Arthur,76.922,29.8334,-93.9663,port-arthur-tx,TX,-93.9663,29.8334,68,737
55480,53695,0.01084,Galveston,41.128,29.1834,-94.97,galveston-tx,TX,-94.97,29.1834,69,1349
53938,51898,0.01277,Texas City,64.305,29.4337,-94.8927,texas-city-tx,TX,-94.8927,29.4337,70,839
52621,46453,0.04066,Little Elm,17.82,33.186,-96.9251,little-elm-tx,TX,-96.9251,33.186,71,2953
51921,50631,0.00835,Grapevine,31.973,32.9341,-97.0765,grapevine-tx,TX,-97.0765,32.9341,72,1624
51001,45697,0.03591,Kyle,30.455,29.9947,-97.8883,kyle-tx,TX,-97.8883,29.9947,73,1675
50926,47641,0.02197,Burleson,28.259,32.5165,-97.3274,burleson-tx,TX,-97.3274,32.5165,74,1802
50813,49928,0.00584,Bedford,10.017,32.8458,-97.1351,bedford-tx,TX,-97.1351,32.8458,75,5073
50384,49148,0.00824,Cedar Hill,35.791,32.5843,-96.9589,cedar-hill-tx,TX,-96.9589,32.5843,76,1408
50179,47251,0.01984,Rockwall,29.343,32.9181,-96.438,rockwall-tx,TX,-96.438,32.9181,77,1710
48158,45941,0.01558,Huntsville,35.851,30.7048,-95.5536,huntsville-tx,TX,-95.5536,30.7048,78,1343
47908,45688,0.01569,Channelview,14.477,29.793,-95.1145,channelview-tx,TX,-95.1145,29.793,79,3309
47621,45776,0.01308,Keller,18.461,32.9329,-97.2245,keller-tx,TX,-97.2245,32.9329,80,2580
47171,46073,0.00782,Haltom City,12.367,32.8177,-97.2711,haltom-city-tx,TX,-97.2711,32.8177,81,3814
46997,44534,0.01778,The Colony,14.005,33.0896,-96.9034,the-colony-tx,TX,-96.9034,33.0896,82,3356
45181,43645,0.01146,Sherman,45.552,33.6278,-96.6209,sherman-tx,TX,-96.6209,33.6278,83,992
45164,42002,0.02389,Schertz,32.001,29.5633,-98.2509,schertz-tx,TX,-98.2509,29.5633,84,1411
